Abraham
Achim
Adam
Adel
Adolf
Adrian
Albert
Albrecht
Alexander
Alfred
Alois
Alvin
Alwin
Andreas
Ansgar
Anthon
Anton
Antony
Armin
Arndt
Arno
Arnold
Arnulf
Artur
August
Aurick
Axel
Baldur
Bastian
Beat
Benedict
Bernd
Bernhard
Bertram
Bjorn
Bodo
Bruno
Calvin
Carl
Carolus
Charl
Christian
Christof
Christoph
Clemens
Conrad
Dagobert
Daniel
David
Delbert
Derek
Detlef
Diederich
Diedrich
Diepold
Dieter
Dieterich
Dietrich
Dirk
Donald
Edmund
Egbert
Egon
Ehren
Eike
Eilhard
Eitel
Ekkehard
Elias
Elimar
Elmar
Emil
Emmerich
Engelbert
Erhard
Eric
Ernst
Ewald
Felix
Ferdinand
Florian
Frank
Franz
Frederick
Fredrik
Fridolf
Friedemann
Friedrich
Friedrich Heinrich
Fritz
Gabriel
Garibald
Gebhard
Georg
Gerald
Gerard
Gerd
Gerhard
Gerhardt
Germar
Gernot
Gert
Gerwin
Gilbert
Giselher
Gottfried
Gottlieb
Gottschalk
Götz
Guido
Gunther
Günther
Gustav
Gustl
Hanno
Hans
Hans-Ulrich
Hansjörg
Harald
Harold
Hasso
Hauke
Heiko
Heiner
Heini
Heino
Heinrich
Heinz
Helge
Hellmuth
Helmut
Helmuth
Henning
Herbert
Herman
Hermann
Herschel
Herwig
Holger
Horst
Hubert
Hubertus
Hugo
Ignatz
Ignaz
Ingo
Jacob
Jakob
Jan
Jannik
Jasper
Jerome
Joachim
Joachim-Friedrich
Johann
Johannes
Jonas
Jonathan
Jörg
Joseph
Jost
Jupp
Jürgen
Kalli
Karl
Karl-Heinz
Karlheinz
Karsten
Kaspar
Kepler
Klaus
Klaus-Peter
Knut
Konrad
Kuno
Kurd
Kurt
Lars
Leopold
Levin
Linus
Lorentz
Lotar
Lothar
Ludger
Ludolf
Ludwig
Luitpold
Lukas
Luther
Lütold
Lutz
Magnus
Malte
Manuel
Marcus
Marius
Martin
Matthias
Maximilian
Medard
Meinrad
Melvin
Michael
Michel
Milo
Mirco
Mirko
Moritz
Nico
Nicolas
Nicolaus
Nivaldo
Norbert
Norman
Olaf
Oliver
Orlando
Oscar
Oswald
Othmar
Otto
Ottomar
Pascal
Patrick
Paul
Peter
Philip
Philipp
Rainer
Ralph
Randall
Reinhard
Reinhardt
Reinhart
Reinhold
Rembrandt
Robert
Robin
Roderick
Roger
Roland
Rolf
Roman
Ronald
Rubert
Rudolph
Ruprecht
Samuel
Sander
Sascha
Sepp
Severin
Siegfried
Sigismund
Sigmund
Simon
Stefan
Stephen
Sven
Sylvester
Thaddeus
Theobald
Theodor
Thomas
Tilman
Timo
Tobias
Tom
Traugott
Udo
Ulrich
Urban
Utto
Uwe
Valter
Vincenz
Vinzenz
Vollrath
Waldemar
Waldo
Walter
Walther
Wenzel
Werner
Wernher
Wilfried
Wilhelm
William
Winfried
Wolf
Wolfgang
Wolfram
Xavier
