Adele
Adelheid
Agnes
Alina
Almut
Amalia
Amalie
Amelia
Andrea
Anna
Anna-Lena
Anne
Anneliese
Annemarie
Annette
Annika
Antje
Antoinette
Antonia
Antonie
Antonina
Astrid
Auguste
Babette
Barbara
Beata
Berta
Bertha
Bettina
Bianka
Birgit
Britta
Carla
Carlota
Carlotta
Carol Ann
Carolina
Caroline
Carry
Cassandra
Charlot
Charlotta
Charlotte
Christa
Christel
Christine
Claudia
Corina
Corinna
Cornelia
Dagmar
Dora
Dorit
Edeltraud
Edith
Elfriede
Elke
Elsa
Emilie
Emma
Erika
Ermengarde
Erna
Esther
Eva
Frauke
Frida
Friedl
Gabriele
Gerda
Gertrude
Gisela
Greta
Gretchen
Grete
Gretel
Grit
Gustl
Hannah
Hanne
Hannelore
Hedwig
Hedy
Heide
Heidemarie
Heidi
Helena
Helga
Hermine
Herta
Hertha
Hilda
Hilde
Hildegard
Hilma
Ilona
Ilse
Imelda
Inga
Inge
Ingeborg
Ingrid
Irma
Irmgard
Isabella
Jana
Johanna
Judith
Julia
Jutta
Kaja
Karen
Karin
Karline
Karola
Karolin
Karolina
Käthe
Katja
Katrin
Kerstin
Kornelia
Kristi
Kristina
Lara
Laura
Lena
Leopoldine
Liana
Liane
Lieselotte
Liesl
Lina
Lisbeth
Liselotte
Lorena
Lotte
Lotti
Lottie
Lotty
Louise
Lucia
Lydia
Magdalena
Margarete
Margarethe
Margit
Maria
Marianne
Marie
Marlene
Marlies
Marta
Martina
Meike
Melanie
Minna
Miranda
Mirjam
Mona
Monika
Nadine
Nanne
Natalie
Nela
Nikoletta
Nina
Olga
Olivia
Ortrud
Paula
Petunia
Rachel
Ricarda
Richeza
Rosina
Rut
Sabine
Sandra
Selma
Sigrid
Silke
Sophie
Susanne
Svenja
Tamara
Tanja
Thekla
Therese
Theresia
Tina
Traudl
Traute
Trude
Ulrike
Ursula
Ute
Valerie
Vanessa
Vera
Victoria
Viola
Waltraud
Wiebke
Wilhelmina
Wiltrud
Xenia
Yvonne
